id;dateCreated;dateModified;createdBy;createdByName;modifiedBy;modifiedByName;c_instrumento;c_b0023;c_b0022;c_b0021;c_producto;c_b0025;c_b0024;c_otro
00eb4a3e-d20b-4841-9074-3cadf4117932;2023-01-30 13:30:22.000;2023-01-30 13:30:22.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;39a8d953-49d0-4dbe-b455-2c4d9d5d6727;2.5 Ton/ ha;3 meses;2;Patilla;false;;
07e41e45-84fe-44f0-a594-d302077d8f30;2023-01-28 01:06:58.000;2023-01-28 01:06:58.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;150ad720-93c7-4800-a7e9-784dd4e59805;40000 naranjas;1 año;2;Naranja;false;5000 naranjas;
0e62e68c-3053-45bf-89d2-362af863a35c;2023-01-24 16:10:56.000;2023-01-24 16:10:56.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;8604c4f9-9c8b-4f98-8fda-a74f8438d3eb;22 Arrobas;6 meses;2;Maíz;true;0;
0ff0ee96-3817-4622-a50b-e7d15799e84a;2023-01-18 14:13:58.000;2023-01-18 14:13:58.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;52821446-ad5b-4ca0-93dc-332bb4d0daaa;40 bultos;12 meses;0.5;;false;1 bulto;Ahuyama
22ad2f01-5936-43d8-9bfb-5fa5467b6141;2023-01-18 02:49:10.000;2023-01-18 02:49:10.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;643f1dc8-e192-4e4b-b024-217ec152b03f;10 bultos semana;4 meses;1.5;Maíz;false;2 bultos;
326f359a-3e29-4cd9-8b01-be169690c4a2;2023-01-18 14:13:55.000;2023-01-18 14:13:55.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;52821446-ad5b-4ca0-93dc-332bb4d0daaa;70 bultos;4 meses;1;Maíz;false;0;
3996b9d4-4361-4405-8159-043098a47000;2023-02-07 14:55:19.000;2023-02-07 14:55:19.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;79e5fda6-db8c-4abc-8de8-ef451b8e81dd;;Junio;01-feb;Plátano;false;;
402ef2e1-bc76-4351-939a-ea7dcd06e124;2023-01-28 01:17:26.000;2023-01-28 01:17:26.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;730eaed5-6825-486a-abd7-32fc50d9167e;40000 naranjas;1 año;2;Naranja;false;5000 naranjas;
414cf1a4-5a71-4369-8cba-d4ef48e72c8a;2023-01-18 14:13:57.000;2023-01-18 14:13:57.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;52821446-ad5b-4ca0-93dc-332bb4d0daaa;8 toneladas;12 meses;01-ago;Patilla;false;2 toneladas;
48dfd1fa-3c6e-4d6e-9518-31a48f85832f;2023-01-30 04:03:33.000;2023-01-30 04:03:33.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;f692a854-7e14-44ab-b08e-2892c6680416;120000;6 meses;10;Naranja;true;4000;
4a428924-44c5-40b2-938b-82c2651964b8;2023-01-25 17:57:49.000;2023-01-25 17:57:49.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;de8623bd-a223-4bba-9acb-fc8a02b27454;;;;;false;;
5756a10d-e2ac-4b77-9010-5ab92d7d78ce;2023-01-19 22:43:11.000;2023-01-19 22:43:11.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;11518923-ab60-45f2-be3f-ebd0517cc449;200 bultos;6 meses;2;;false;0;yuca
5d85b252-3dda-426b-abc2-b96bd8a16f61;2023-01-27 04:25:45.000;2023-01-27 04:25:45.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;8e7c1e5e-3772-45ca-9bef-50e884697b70;;;;;false;;
6200a049-98e9-4428-91d9-f565047e3e6b;2023-01-30 13:30:23.000;2023-01-30 13:30:23.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;39a8d953-49d0-4dbe-b455-2c4d9d5d6727;2.5 Ton/ ha;3 meses;1;Maíz;false;;
736f7a7d-71de-47aa-822d-5fa59328f4ad;2023-01-20 15:22:56.000;2023-01-20 15:22:56.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;6780f691-1ccf-4f8f-ab21-e3d6be80841c;300-400 Bultos;8 mrdrd;1;;false;;Yuca
908981ac-b89a-4d6b-ac19-cf9e96e321a5;2023-02-02 14:52:52.000;2023-02-02 14:52:52.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;54b79311-6ebb-4346-be8d-0fc57ad4b5e1;8 Ton;6 meses;7;Maíz;false;1/2 ton;
940af557-f55f-4d11-be84-209fe00a8108;2023-01-19 14:23:25.000;2023-01-19 14:23:25.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;8422dc82-b8d9-40d3-a1f4-d626bf340b74;;6 meses;7;;false;;yuca
9b03e94a-6998-4600-b075-1528620ab6f6;2023-01-28 03:02:11.000;2023-01-28 03:02:11.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;10b5cc46-c3b8-4ba7-97ec-ba84c1b0ddbb;22000;6 meses;35;Naranja;true;1000;
9ca7895a-418d-4d1f-8728-dc9962c7f687;2023-02-02 14:52:53.000;2023-02-02 14:52:53.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;54b79311-6ebb-4346-be8d-0fc57ad4b5e1;8 Ton;6 meses;01-feb;;false;1 Ton;yuca
9d9b898a-dcb2-4e5e-b55e-4a9fd919ba11;2023-01-18 14:13:56.000;2023-01-18 14:13:56.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;52821446-ad5b-4ca0-93dc-332bb4d0daaa;;3 meses;.25;Arroz;false;;
9f73b940-cf7c-4e1b-96ae-732a0dd7cf07;2023-01-30 03:03:52.000;2023-01-30 03:03:52.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;d4361652-b729-45ae-b17f-fc2a1ca0b1ce;250000;6 meses;4;Naranja;false;40000;
a2161c9e-e622-490c-a1c8-c8ed5e5a4e5a;2023-02-07 16:44:34.000;2023-02-07 16:44:34.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;cb199a2e-1fc6-40aa-bdc7-a1b072faa623;900 Kg/ semana;;;Queso;false;;
a57e213d-8db2-4960-8dce-8dbf4f1d1aa4;2023-01-24 16:10:57.000;2023-01-24 16:10:57.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;8604c4f9-9c8b-4f98-8fda-a74f8438d3eb;15  Bultos;6 meses;2;;true;;Yuca
a5da2d63-da19-413f-a314-63c377c8b4ec;2023-01-18 02:45:14.000;2023-01-18 02:45:14.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;00aceda1-e45b-423f-8310-5d477e033bbc;2 bultos diarios;6 meses;1;;false;1 arroba;yuca
a792a689-75f7-460e-899a-c128016c33a4;2023-01-18 02:49:09.000;2023-01-18 02:49:09.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;643f1dc8-e192-4e4b-b024-217ec152b03f;2 bultos diarios;6 meses;1;;false;1 arroba;yuca
aaf291da-8f38-4632-921d-39a23391185a;2023-02-07 16:44:50.000;2023-02-07 16:44:50.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;27ad1a3e-0e1c-443d-a2ad-83923831af3e;900 Kg/ semana;;;Queso;false;;
b02e892b-c34d-49df-80a6-186ca0e2f764;2023-02-02 13:30:54.000;2023-02-02 13:30:54.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;27f55bcc-dfe4-4c6e-8125-14fec3b8741c;50 lt;diario;;Leche;true;;
b0e26460-231e-44a5-be41-65126f7dfeb9;2023-01-27 13:57:36.000;2023-01-27 13:57:36.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;201fcac6-44c4-4b46-997e-a9e7cdb1aec4;50;;;Queso;false;;
b38af2e0-f90a-41d3-a57c-3bb62309a800;2023-01-18 14:13:54.000;2023-01-18 14:13:54.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;52821446-ad5b-4ca0-93dc-332bb4d0daaa;100 bultos;6 meses;1.5;;false;30 bultos;yuca
b56f20e1-37e2-4b96-942e-80e32ba4cb52;2023-01-18 02:45:15.000;2023-01-18 02:45:15.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;00aceda1-e45b-423f-8310-5d477e033bbc;10 bultos semana;4 meses;1.5;Maíz;false;2 bultos;
cfd71ec6-c974-427d-b611-d7ba3b57b286;2023-01-24 00:17:02.000;2023-01-24 00:17:02.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;e7cdb6cc-72bd-4f4f-ab12-647abe4c00ad;;;;;false;;
d0e111f8-931e-4cf1-94a5-f7849c158c52;2023-01-19 14:23:24.000;2023-01-19 14:23:24.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;8422dc82-b8d9-40d3-a1f4-d626bf340b74;;6 meses;7;Maíz;false;;
