id;dateCreated;dateModified;createdBy;createdByName;modifiedBy;modifiedByName;c_instrumento;c_b0034;c_b0033;c_b0032;c_producto;c_b0031;c_otro;c_b035
01c796af-2b3a-48bc-98f2-b64df6e4f33e;2023-01-27 13:40:43.000;2023-01-27 13:40:43.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;c9661bf2-4a17-4bf7-afdf-66f76b119973;;diario;;Pesca Artesanal;24 libras;;false
032213c6-e32d-49dc-9377-82803c5132cc;2023-01-27 15:36:07.000;2023-01-27 15:36:07.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;1508c839-ce1b-4863-a7a8-fd12560838eb;;;;Pesca Artesanal;;;false
116dd49d-e055-498e-a125-3d8f97ffec6b;2023-01-28 01:06:58.000;2023-01-28 01:06:58.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;150ad720-93c7-4800-a7e9-784dd4e59805;2;45 dias;;Pollo de engorde;57;;true
1e01ce20-fb36-484c-8111-7eddd8e9bf10;2023-01-30 13:30:21.000;2023-01-30 13:30:21.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;39a8d953-49d0-4dbe-b455-2c4d9d5d6727;;diario;;Leche;12;15 litros /dia;false
24ddb0f4-80e3-4d24-b47a-6c01b398ab95;2023-01-30 02:04:52.000;2023-01-30 02:04:52.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;0c3fffd6-0a13-45ba-9afc-0dbe3669991b;10;45;edad;Pollo de engorde;100;;true
361bc671-64c3-438f-bdb3-97a4d78070bf;2023-02-07 14:55:20.000;2023-02-07 14:55:20.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;79e5fda6-db8c-4abc-8de8-ef451b8e81dd;;;;Carne porcina;4;;false
3a2a015a-e001-4cc9-9945-bf065c7c6969;2023-01-25 15:15:00.000;2023-01-25 15:15:00.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;62717489-a960-4ff2-b072-208c4f198ff2;;Diario;Especie;Pesca Artesanal;;;
4b62b20f-cd8a-4f6e-baec-c5c5a395d59f;2023-02-01 21:06:44.000;2023-02-01 21:06:44.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;9e945918-b623-4fac-9b78-c5f9a16a7347;;;;;20;Caprino;false
4c36ec1a-d55f-4c3a-85de-f7ef7e31dba6;2023-02-01 23:24:35.000;2023-02-01 23:24:35.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;3401051f-ce78-4953-8f59-4df351cc93cc;;;;Queso;;;false
50d3d12d-d67a-4f91-afdc-26ed7603035c;2023-01-28 02:00:55.000;2023-01-28 02:00:55.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;5853b7ea-82a3-483c-87f5-46d7f6262e90;1/hembra;4 meses;Edad y tamaño;Carne porcina;60;;true
