id;dateCreated;dateModified;createdBy;createdByName;modifiedBy;modifiedByName;c_otro;c_instrumento;c_c001Almacenamiento;c_producto;c_c001Gondola
02a0fe62-bfdc-4994-b141-6f379a241400;2023-01-27 15:53:21.000;2023-01-27 15:53:21.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;ba9b6c06-9265-469a-9647-c357e132a758;4 a 5 días;Pesca Artesanal;
0727d5ac-7257-43b7-bc5d-41b985b60057;2023-01-30 16:23:21.000;2023-01-30 16:23:21.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;yuca;2541e259-089f-446b-aee1-3f91850e338e;1 a 3 días;;
0d01e1a9-5c50-45d7-9abf-339b00f37346;2023-02-01 20:15:32.000;2023-02-01 20:15:32.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;cd9d9570-4365-45fd-b75b-e2c37f12f762;Mas de 15 días;Arroz;
104e8674-70d7-4171-b8bd-9bb6b2432dd3;2023-01-24 00:18:08.000;2023-01-24 00:18:08.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;84af2b9e-d915-446d-a5c8-522f78110210;Menos de 1 día;Pesca Artesanal;
191171b1-2f2c-4f01-a547-f4b2a5265113;2023-02-01 20:15:25.000;2023-02-01 20:15:25.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;cd9d9570-4365-45fd-b75b-e2c37f12f762;Mas de 15 días;Plátano;
192e8a3b-f984-4014-a319-22a35aff5d72;2023-01-30 13:32:39.000;2023-01-30 13:32:39.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;26d13cd1-2423-434b-8935-77bb1f056706;6 a 10 días;Patilla;
19af7ada-0125-453d-8668-24874a6370ac;2023-01-27 13:15:44.000;2023-01-27 13:15:44.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;f23f4252-ba4d-4a16-b5d9-b4288ca2ccbc;10 a 15 días;Pesca Artesanal;
1a040795-416f-4aa8-8fc8-94d91187e164;2023-01-30 04:06:37.000;2023-01-30 04:06:37.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;Mango;47616568-932a-4459-9d0b-ce5999fe27ee;1 a 3 días;;
2635c4f0-cc33-48a7-8add-7732a960f0bb;2023-01-24 16:14:49.000;2023-01-24 16:14:49.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;c7a9c83e-a829-494f-b5ce-e470351f474b;Menos de 1 día;Maíz;
341f86e6-148d-4643-b943-4d46625ef1cf;2023-02-01 23:28:21.000;2023-02-01 23:28:21.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;bac3be6f-8913-4b8d-b4e4-74569c9a6f9c;4 a 5 días;Queso;
