id;dateCreated;dateModified;createdBy;createdByName;modifiedBy;modifiedByName;c_aplicacionConservantes;c_instrumento;c_reempaque;c_limpieza;c_producto;c_clasificacion;c_otro
0034049d-dd41-41a7-a55e-e7901cea02d9;2023-01-30 17:05:56.000;2023-01-30 17:05:56.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;8947d3e0-ea55-4439-984c-ca6f88706537;false;false;Yuca;true;
05cd4ec8-26bd-40d8-bf7f-70427bd0b492;2023-01-26 01:34:15.000;2023-01-26 01:34:15.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;3b102c73-088e-457f-9dda-6e732b13981b;false;false;Pesca Artesanal;true;
080a10f3-08ea-4329-ad27-8901860c3142;2023-01-26 21:49:16.000;2023-01-26 21:49:16.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;a8732097-7ef8-4f48-a6d8-fa46a391bb4d;false;false;Pesca Artesanal;true;
0b3f1ae3-ca2f-410a-889d-a07ac2e629e6;2023-01-30 17:05:55.000;2023-01-30 17:05:55.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;8947d3e0-ea55-4439-984c-ca6f88706537;false;false;Plátano;true;
0bf50467-06fa-4c89-9c27-1e04a6607064;2023-01-30 16:23:21.000;2023-01-30 16:23:21.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;2541e259-089f-446b-aee1-3f91850e338e;false;false;;false;
0c54a0b1-2e55-4285-ad8d-27b20947581a;2023-02-07 16:48:19.000;2023-02-07 16:48:19.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;true;d647040c-55cf-47e8-b892-00c3799aaed7;true;false;Queso;true;
0f433a71-123d-4c1b-b9bc-9b7baeee3604;2023-01-24 00:46:41.000;2023-01-24 00:46:41.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;2596f67d-c3ad-4f0a-970b-34d7c80ff541;false;true;Pesca Artesanal;true;
13b78616-1c16-4e4c-b4ba-c0e12c0273ef;2023-01-29 17:32:34.000;2023-01-29 17:32:34.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;c8693293-1157-49d9-a825-75fca0b3bb4e;true;false;Limón;true;
1564ab3f-d8b1-4fe6-b32c-ac49196a515e;2023-01-30 02:06:59.000;2023-01-30 02:06:59.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;a3e108d3-b7b0-4d1a-9be5-ee52ccf54d40;true;true;Pollo de engorde;false;
1f0b3241-9996-4e01-9b8c-a4cf45628707;2023-01-25 18:02:17.000;2023-01-25 18:02:17.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;true;7c6e5074-c568-4216-9bd4-b90e117362a9;false;true;Pesca Artesanal;true;
21caf2bd-12cc-4c68-9d69-1c78420daa9b;2023-01-19 14:56:35.000;2023-01-19 14:56:35.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;false;134770d9-f29b-41f9-abf8-c4e87daef689;false;true;Maíz;true;
