"id","dateCreated","dateModified","createdBy","createdByName","modifiedBy","modifiedByName","c_ventaSemana","c_equivalencia","c_frecuencia","c_desperdicioAlmacenamiento","c_instrumento","c_desperdicioTransporte","c_producto","c_cantidad"
"02f80aae-dc32-4801-8e0c-6f3fe4c3b21d",2023-01-30 16:28:10.000,2023-01-30 16:28:10.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","50","2 - 3 dias","",f578e136-b8ee-467d-a17f-925cb837b41c,"","",Yuca (bultos)
"09512518-cd54-469c-81a7-dcd7d61fea3f",2023-01-23 20:05:19.000,2023-01-23 20:05:19.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","","","",eb77e6d7-d38a-4030-a52c-ccd5e1a469f1,"","",""
"136e6574-5305-490d-9583-9a7d3e335b92",2023-01-23 20:05:18.000,2023-01-23 20:05:18.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","13","2-3","",eb77e6d7-d38a-4030-a52c-ccd5e1a469f1,"","","1-2 Arroba"
"156a1957-4542-4fde-9acc-1c29f2dedef9",2023-01-25 23:25:40.000,2023-01-25 23:25:40.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","62.5-250",diario,"",ed4f10e4-7fd1-445f-a6bd-c6441d86005f,"",pescado,"5-20  @"
"15d001ed-0de7-4f48-9b69-b299a29e3c92",2023-02-01 20:20:00.000,2023-02-01 20:20:00.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","",semanal,"","57a14dba-bc71-47e0-9feb-f2fdcf000142","",Queso,"5000"
"1a04f421-7cea-4e28-be0d-968cc7e260af",2023-01-30 15:35:46.000,2023-01-30 15:35:46.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","","6 meses","","3635b1bd-33fe-41a8-a2a5-f7e23f0d2d9a","",Producción acuícola,""
"2ecbafe4-261f-4012-802f-a7f7039a7333",2023-02-07 14:27:43.000,2023-02-07 14:27:43.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","200",diario,"",e46f52e7-bfb2-4df6-8eda-a2367704152a,"",Carne porcina,""
"33af1824-8afc-4bf5-8787-6eef633c278d",2023-01-26 01:37:01.000,2023-01-26 01:37:01.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","250",Diaria,"",c98c4ef0-3b9d-45fb-95d6-bc580dff307d,"",Pesca Artesanal,"20 @"
"376d35d3-fa4d-457c-9753-7f54de9166c5",2023-01-30 16:42:03.000,2023-01-30 16:42:03.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","120","2-3 dias","0",d949c577-60e0-4922-a86b-a6e0f845ac3f,"0",Plátano,"3 canastillas"
"4dd0fc63-4b3c-4805-85f1-1acc7ff3eb39",2023-01-29 17:37:53.000,2023-01-29 17:37:53.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,"","",semanal,"","5e641596-c60e-4bb5-8601-1c11dce8a185","",Naranja,"500 bulos"
