"id","dateCreated","dateModified","createdBy","createdByName","modifiedBy","modifiedByName","c_nombreProveedor","c_zonaProcedencia","c_instrumento","c_plazas","c_frigorifico","c_producto","c_transformadores","c_mayoristas","c_asociaciones","c_campesino"
"095b25ab-5cdc-402b-95e3-7e740309fcd7",2023-01-24 01:31:09.000,2023-01-24 01:31:09.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,d0f8c82b-2a1c-48e0-a7d7-5755000e5c71,,,Pesca Artesanal,,,,
"09620a17-12a8-4464-924d-93399f24702d",2023-01-18 16:04:24.000,2023-01-18 16:04:24.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,"4a3a975a-4c21-4042-8f3a-7b513ecb3c95",,,Pesca Artesanal,,,,
"14365abf-b65c-438d-ad0f-fc23675b3229",2023-01-30 16:42:03.000,2023-01-30 16:42:03.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,d949c577-60e0-4922-a86b-a6e0f845ac3f,,,Yuca,,,,
"19f25610-68fa-48c7-92c5-6bc4682e5470",2023-01-23 20:08:03.000,2023-01-23 20:08:03.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,"566cb92e-d546-4f48-a99f-c047dbd5fbec",,,Pesca Artesanal,,,,
"1b0b682b-317d-4e4c-a862-cec49ba6070b",2023-01-30 17:09:58.000,2023-01-30 17:09:58.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,d01e8688-bc27-4a65-8c14-1d315d4bca8a,,,Yuca,,,,
"20e2a74d-5a35-405f-bac4-67086206c4b2",2023-01-30 17:09:57.000,2023-01-30 17:09:57.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,d01e8688-bc27-4a65-8c14-1d315d4bca8a,,,Plátano,,,,
"331844f5-13ec-4b33-9187-0966854bc9b1",2023-02-07 14:27:44.000,2023-02-07 14:27:44.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,e46f52e7-bfb2-4df6-8eda-a2367704152a,,,Carne porcina,,,,
"33250804-0ec8-46f0-8047-cfcfd33acd75",2023-01-27 13:22:46.000,2023-01-27 13:22:46.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,"2aa113cf-dfa1-4c9b-9273-c8ab6b85b898",,,Pesca Artesanal,,,,
"3bcf4c28-ec80-4455-b77b-8f22d7fcc67d",2023-01-26 01:06:40.000,2023-01-26 01:06:40.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,"24879437-4c80-4e77-88be-14f5e541effa",,,Pesca Artesanal,,,,
"3ec96470-a487-4367-92db-34043b9b3575",2023-02-07 17:35:46.000,2023-02-07 17:35:46.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,"8c34ca6d-1924-491f-bfab-0c9f6f768dab",,,Carne porcina,,,,
